permno,adate,qdate,public_date,bm,TICKER
10107,20150630,20151231,20160430,0.180,MSFT
10107,20150630,20160331,20160531,0.178,MSFT
10107,20150630,20160331,20160630,0.178,MSFT
10107,20150630,20160331,20160731,0.178,MSFT
10107,20160630,20160630,20160831,0.184,MSFT
10107,20160630,20160630,20160930,0.184,MSFT
10107,20160630,20160630,20161031,0.184,MSFT
10107,20160630,20160930,20161130,0.160,MSFT
10107,20160630,20160930,20161231,0.160,MSFT
10107,20160630,20160930,20170131,0.160,MSFT
10107,20160630,20161231,20170228,0.146,MSFT
10107,20160630,20161231,20170331,0.146,MSFT
10107,20160630,20161231,20170430,0.146,MSFT
10107,20160630,20170331,20170531,0.138,MSFT
10107,20160630,20170331,20170630,0.138,MSFT
10107,20160630,20170331,20170731,0.138,MSFT
10107,20170630,20170630,20170831,0.137,MSFT
10107,20170630,20170630,20170930,0.137,MSFT
10107,20170630,20170630,20171031,0.137,MSFT
10107,20170630,20170930,20171130,0.165,MSFT
10107,20170630,20170930,20171231,0.165,MSFT
10107,20170630,20170930,20180131,0.165,MSFT
10107,20170630,20171231,20180228,0.124,MSFT
10107,20170630,20171231,20180331,0.124,MSFT
10107,20170630,20171231,20180430,0.124,MSFT
10107,20170630,20180331,20180531,0.116,MSFT
10107,20170630,20180331,20180630,0.116,MSFT
10107,20170630,20180331,20180731,0.116,MSFT
10107,20180630,20180630,20180831,0.110,MSFT
10107,20180630,20180630,20180930,0.110,MSFT
10107,20180630,20180630,20181031,0.110,MSFT
10107,20180630,20180930,20181130,0.100,MSFT
10107,20180630,20180930,20181231,0.100,MSFT
10107,20180630,20180930,20190131,0.100,MSFT
10107,20180630,20181231,20190228,0.121,MSFT
10107,20180630,20181231,20190331,0.121,MSFT
10107,20180630,20181231,20190430,0.121,MSFT
10107,20180630,20190331,20190531,0.107,MSFT
10107,20180630,20190331,20190630,0.107,MSFT
10107,20180630,20190331,20190731,0.107,MSFT
10107,20190630,20190630,20190831,0.100,MSFT
10107,20190630,20190630,20190930,0.100,MSFT
10107,20190630,20190630,20191031,0.100,MSFT
10107,20190630,20190930,20191130,0.100,MSFT
10107,20190630,20190930,20191231,0.100,MSFT
10107,20190630,20190930,20200131,0.100,MSFT
10107,20190630,20191231,20200229,0.092,MSFT
10107,20190630,20191231,20200331,0.092,MSFT
10107,20190630,20191231,20200430,0.092,MSFT
10107,20190630,20200331,20200531,0.096,MSFT
10107,20190630,20200331,20200630,0.096,MSFT
10107,20190630,20200331,20200731,0.096,MSFT
10107,20200630,20200630,20200831,0.077,MSFT
10107,20200630,20200630,20200930,0.077,MSFT
10107,20200630,20200630,20201031,0.077,MSFT
10107,20200630,20200930,20201130,0.078,MSFT
10107,20200630,20200930,20201231,0.078,MSFT
10107,20200630,20200930,20210131,0.078,MSFT
10107,20200630,20201231,20210228,0.078,MSFT
10107,20200630,20201231,20210331,0.078,MSFT
10107,20200630,20201231,20210430,0.078,MSFT
10107,20200630,20210331,20210531,0.076,MSFT
10107,20200630,20210331,20210630,0.076,MSFT
10107,20200630,20210331,20210731,0.076,MSFT
10107,20210630,20210630,20210831,0.070,MSFT
10107,20210630,20210630,20210930,0.070,MSFT
10107,20210630,20210630,20211031,0.070,MSFT
10107,20210630,20210930,20211130,0.072,MSFT
10107,20210630,20210930,20211231,0.072,MSFT
11081,19990131,19991031,20000131,0.042,DELL
11081,19990131,19991031,20000229,0.042,DELL
11081,20000131,20000131,20000331,0.054,DELL
11081,20000131,20000131,20000430,0.054,DELL
11081,20000131,20000131,20000531,0.054,DELL
11081,20000131,20000430,20000630,0.043,DELL
11081,20000131,20000430,20000731,0.043,DELL
11081,20000131,20000430,20000831,0.043,DELL
11081,20000131,20000731,20000930,0.057,DELL
11081,20000131,20000731,20001031,0.057,DELL
11081,20000131,20000731,20001130,0.057,DELL
11081,20000131,20001031,20001231,0.079,DELL
11081,20000131,20001031,20010131,0.079,DELL
11081,20000131,20001031,20010228,0.079,DELL
11081,20010131,20010131,20010331,0.083,DELL
11081,20010131,20010131,20010430,0.083,DELL
11081,20010131,20010131,20010531,0.083,DELL
11081,20010131,20010430,20010630,0.081,DELL
11081,20010131,20010430,20010731,0.081,DELL
11081,20010131,20010430,20010831,0.081,DELL
11081,20010131,20010731,20010930,0.070,DELL
11081,20010131,20010731,20011031,0.070,DELL
11081,20010131,20010731,20011130,0.070,DELL
11081,20010131,20011031,20011231,0.076,DELL
11081,20010131,20011031,20020131,0.076,DELL
11081,20010131,20011031,20020228,0.076,DELL
11081,20020131,20020131,20020331,0.066,DELL
11081,20020131,20020131,20020430,0.066,DELL
11081,20020131,20020131,20020531,0.066,DELL
